2.477,0,0.1329295337,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.4325284091,1.9999694824,2730.3170498084,0,0,0,0,87,57.7345733643,46.4742202759,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.2942749519,-67.6672693158,16.0784313725,-29.9450221352,5.8823529412,-19.2839452933,7.4509803922,6.330078125,6.3359375,-0.0092836747,16.2173773938,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.517,0,0.1324979216,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.5508996212,1.9999694824,2723.2289272031,0,0,0,0,87,57.7353824713,46.4673607566,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.2306740594,-67.5719010364,16.0784313725,-29.9450221352,5.8823529412,-19.2500731773,7.4509803922,6.3041366186,6.3249797078,-0.0188121796,16.5098953334,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.557,0,0.1320663095,21,-0.78125,1.9999694824,0.8499755859,4.206094573,OL - Accel/Decel,0,-2.6692708333,1.9999694824,2716.1408045977,0,0,0,0,87,57.7424621582,46.398765564,0,0,0,96.5951374356,14.9019607843,0,0,0,0,0,48.2465130872,-67.5492714421,16.0784313725,-29.9450221352,6.6590148254,-19.1975713976,8.5700621712,6.2578125,6.3046875,-0.0229637496,16.802413273,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.597,0,0.1314820722,21,-0.78125,1.9999694824,0.8499755859,4.4563809452,OL - Accel/Decel,0,-2.7876420455,1.9999694824,2709.0526819923,0,0,0,0,87,57.7433386082,46.3900818423,0,0,0,96.5951374356,15.5578093306,0,0,0,0,0,48.2940301708,-67.390864282,16.0784313725,-29.9450221352,7.7302725968,-10.4406429471,9.7178383549,6.2416992188,6.2873263889,-0.0333426747,17.0949312126,27.9617036507,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.637,0,0.1308978349,21,-0.78125,1.9999694824,0.8499755859,4.7130849167,OL - Accel/Decel,0,-2.9060132576,1.9999694824,2701.964559387,0,0,0,0,87,57.7496490479,46.3266906738,0,0,0,96.1922548137,18.8370520622,0,0,0,0,0,48.2415372775,-67.3836142864,16.0784313725,-29.9450221352,8.8015303682,9.0191980542,10.8656145385,6.21484375,6.2578125,-0.0437215999,17.3874491522,27.9261185163,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.677,0,0.1299628125,21.3,-0.8694161442,1.9999694824,0.8499755859,4.9697888882,OL - Accel/Decel,0,-3.125,1.9999694824,2692.75,0,0,0,0,87,57.750213623,46.3296037154,0,0,0,95.5476426186,22.1162947938,0,0,0,0,0,48.0840585976,-67.3321393172,16.0784313725,-29.9450221352,9.8727881396,28.4790390554,12.0133907221,6.2170410156,6.2262658228,-0.054100525,17.6799670917,27.8896209426,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.718,0,0.1289810389,22.6666666667,-1.0702390282,1.9999694824,0.8499755859,5.232910459,OL - Accel/Decel,0,-3.0532316273,1.9999694824,2736.0635714286,0,0,0,0,87,57.755153656,46.3587341309,0,0,0,94.8869151186,25.4775185936,0,0,0,0,0,48.0994103844,-67.3225453781,16.0784313725,-29.9450221352,10.9708273553,48.4253760816,13.1898613104,6.220703125,6.171875,-0.0725231171,17.9797979798,27.8522109296,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.762,0,0.1295415312,24.1333333333,-1.2857562696,1.9999694824,0.8499755859,5.5152848277,OL - Accel/Decel,0,-2.6021161417,1.9999694824,2801.7807142857,0,0,0,0,87,57.7559797764,46.3442065716,0,0,0,94.177841704,29.0846855984,0,0,0,0,0,48.1425415949,-67.2563471985,16.0784313725,-29.9450221352,12.1492109039,69.8312011829,14.4524151124,6.1920090664,6.171875,-0.0373432795,18.3015677133,27.8120635985,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.808,0,0.2713624338,25.6666666667,-1.5110697492,1.9999694824,0.8499755859,5.8104943949,OL - Accel/Decel,0,-2.1304954068,1.9999694824,2870.485,0,0,0,0,87,57.7595596313,46.2812538147,0,0,0,93.4365376796,32.8558147397,0,0,0,0,0,99.3491630457,-57.2943485277,16.0784313725,8.5059363165,13.381157341,92.2100183343,15.7723577236,6.154296875,6.171875,0.0782476153,18.6379633438,27.7700913888,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.858,0,1.1609662771,27.3333333333,-1.7559757053,1.9999694824,0.8499755859,6.3816607315,OL - Accel/Decel,0,-1.6178641732,1.9999694824,2945.1635714286,0,0,0,0,87,57.7625116953,45.9965512839,0,0,0,92.6307724357,36.9548681542,0,0,0,0,0,183.5923144647,-29.3058760718,16.0784313725,116.5348195858,14.7202295552,116.5348195858,17.2070779531,21.345703125,9.796875,0.2038898922,19.2156862745,27.7244694216,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.909,0,1.5565191417,29.0333333333,-2.0057797806,1.9999694824,0.8499755859,6.4474510483,OL - Accel/Decel,0,-1.094980315,1.9999694824,3021.3357142857,0,0,0,0,87,57.7673683167,45.5189857483,0,0,0,91.808891887,41.1359026369,0,0,0,0,0,343.7596028484,72.8402551587,16.0784313725,266.9974980384,16.862745098,140.71632148,19.2156862745,24.6409711234,12.3569711538,0.3320450147,18.7282596654,27.6779350152,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,TQ+ from Trans,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.956,0,2.1374874115,30.6,-2.34375,1.9666848616,0.879554856,6.7051297892,OL - Accel/Decel,0,-0.6131069554,1.9999694824,3091.5335714286,0,0,0,0,87,51.7687263489,32.6127166748,0,0,0,91.0514725577,44.9890128465,0,0,0,0,0,352.0584256929,86.5115993724,16.0784313725,269.8186732594,16.2932067693,163.0012349903,18.598207009,33.7421875,19.78125,0.4551744461,17.6869391825,27.6350503661,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Base / MBT,Alt Full Load,No Limit Active,TQ+ from Trans,87.8,192.2,194,30.1960784314,14.3587366458,80.6
2.997,0,1.704139173,32,-2.34375,1.8150549224,0.9084298577,6.9299133716,OL - Accel/Decel,0,-0.1927493438,1.9999694824,3152.77,0,0,0,0,87,50.3165271614,32.1698868184,0,0,0,90.3907450578,48.3502366464,0,0,0,0,0,378.7020148254,194.3633148361,16.1354366308,292.0746111138,14.9959250204,182.4412659248,17.6940409416,31.9766095633,23.8390436747,0.7544886979,16.7785532292,27.597640353,9,Neutral Limit,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Base / MBT,Alt Full Load,No Limit Active,TQ+ from Trans,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.038,0,1.2707909346,26.6923076923,-2.34375,1.6634249832,0.9373048594,7.1546969541,OL - Accel/Decel,0,0.2276082677,1.9999694824,3215.5,0,0,0,0,87,39.0216445923,28.7256546021,0,0,0,89.7300175578,52.9411764706,0,0,0,0,0,348.4850661666,195.2848409706,16.2160302718,272.7810646479,13.6986432715,216.1057097382,16.7898748742,28.857421875,31.0078125,1.0691523985,15.8701672759,27.56023034,9,Neutral Limit,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Base / MBT,Alt Full Load,No Limit Active,TQ+ from Trans,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.078,0,0,21.3846153846,-2.34375,1.5154933351,0.9654755928,7.3739980102,OL - Accel/Decel,0,0.78125,1.9999694824,3310.1179245283,0,0,0,0,87,39.963621664,28.7289362669,0,0,0,88.7630992651,50.2948737336,0,0,0,0,0,263.5898294584,201.1490981904,16.2946582142,148.2499920047,12.4330025409,204.0183124133,15.9077616377,19.2444957386,24.4708806818,1.3761413748,14.9839370777,27.5237327663,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Base / MBT,Alt Full Load,No Limit Active,TQ+ from Trans,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.127,0,0,14.8826923077,-2.34375,1.3342770663,0.9999847412,7.6426418039,OL - Accel/Decel,0,0.4226434426,1.8226617609,3428.9968553459,0,0,0,0,87,45.8723869324,28.7495212555,0,0,0,88.8775508181,45.108120369,0,0,0,0,0,184.3864752185,145.7532927998,16.3909774436,107.4003960448,10.8825926459,144.7900655214,14.827172923,2.421875,13.03125,1.7522028706,13.8983050847,27.4790232385,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,TQ+ from Trans,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.167,0,0,9.575,-2.34375,1.1863454183,1.049987793,7.9770759144,OL - Accel/Decel,0,0.012807377,1.6749053264,3526.0408805031,0,0,0,0,87,48.9231290817,31.1353030205,0,0,0,89.0354150292,40.8740359897,0,0,0,0,0,52.3808848187,-29.1808294861,16.469605386,-28.7649238218,9.6169519152,96.4404762218,13.9450596865,2.1960746951,8.3780487805,2.1436138153,13.0120748865,27.4425256648,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,TQ+ from Trans,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.209,0,0,4.0019230769,-2.34375,1.0236206055,1.049987793,7.7352041473,OL - Accel/Decel,0,-0.4175204918,1.5197610701,3627.9371069182,0,0,0,0,87,58.0753555298,38.2926483154,0,0,0,89.2011724508,36.4282473915,0,0,0,0,0,54.6287702316,-36.423998568,16.5521647255,-28.1527688128,8.2880291481,45.6734074573,13.0188407881,1.958984375,3.4921875,1.8673927652,11.3725490196,27.4042032124,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.257,0,0,-2.5,-2.1696428571,1.0329793294,1.049987793,7.1823543941,OL - Accel/Decel,0,-0.9093237705,1.3424533486,3744.3899371069,0,0,0,0,87,58.0744993422,41.7948371039,0,0,0,89.390609504,31.3473461364,0,0,0,0,0,58.000598351,-55.5196261474,16.6465182564,-26.5110803797,6.7692602713,-25.6422367596,11.9603049044,2.080078125,1.734375,1.4396956554,11.653250774,27.3403324584,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.298,0,0.0458041465,2.5588235294,-1.9866071429,1.0413208008,1.049987793,6.7101285632,OL - Accel/Decel,0,-1.3294057377,1.1910030032,3843.8600628931,0,0,0,0,87,58.0730438232,47.7485580444,0,0,0,89.5524203204,27.0074096477,0,0,0,0,0,53.5628400924,-55.2351116833,16.7271118974,-27.9289540274,5.4719785225,-25.9967332418,10.1960784314,2.8674879808,2.3617788462,1.0743710408,12.3725490196,27.3107803867,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.347,0,0.1744919866,8.7558823529,-1.7678571429,1.0512898763,1.049987793,6.1457611068,OL - Accel/Decel,0,-1.831454918,1.0100013708,3987,0,0,0,0,87,60.1073967173,49.7844250353,0,0,0,89.7458039789,21.8206562831,0,0,0,0,0,53.4500628097,-54.7853952724,16.862745098,-30.2448143186,3.9215686275,-26.5757441629,10.4589181517,8.904296875,7.171875,0.3704528809,13.2321981424,27.2345671491,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.387,0,0.1740469744,13.8147058824,-1.5892857143,1.0594278971,1.049987793,5.6850529792,OL - Accel/Decel,0,-2.34375,0.8585510254,3974.7758007117,0,0,0,0,87,62.1939125061,51.8724937439,0,0,0,89.9036681899,17.5865719038,0,0,0,0,0,52.6606218301,-55.9256280231,16.9261666931,-30.2837069745,4.5574986751,-27.0484061392,11.5102770331,8.77734375,7.521484375,0.3514884767,13.9339525284,27.1723522613,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.427,0,0.1732756197,18.8735294118,-1.4107142857,1.067565918,1.049987793,5.2243448515,OL - Accel/Decel,0,-2.34375,0.9241129935,3958.4768683274,0,0,0,0,87,62.1932487488,51.8471603394,0,0,0,90.061532401,11.7647058824,0,0,0,0,0,52.4722754045,-57.0658607737,17.0530098832,-30.3235719468,5.1934287228,-27.5210681155,12.5616359144,8.396484375,8.5703125,0.2756308601,14.6357069143,27.1101373735,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Base / MBT,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.467,0,0.1721792236,23.9323529412,-1.2321428571,1.0757039388,1.049987793,4.7636367238,OL - Accel/Decel,0,-2.34375,0.9913560378,3942.1779359431,0,0,0,0,87,62.1932502558,51.8218269348,0,0,0,90.219396612,11.8265602771,0,0,0,0,0,51.1538504252,-59.4057474473,17.1798530733,-30.4107457811,5.8293587705,-28.1827948824,13.6129947958,8.3798828125,8.525390625,0.1997732435,15.3374613003,27.0479224856,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Base / MBT,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.510,0,0.1702213734,29.3705882353,-1.0401785714,1.0844523112,1.049987793,4.0610568291,OL - Accel/Decel,0,-2.34375,1.0636423104,3924.6565836299,0,0,0,0,87,62.1933708191,51.7852630615,0,0,0,90.5035521919,11.9329498361,0,0,0,0,0,51.1492269824,-61.9211256215,17.3162095027,-30.5202718805,6.5129835718,-28.0419425034,14.7432055932,8.330078125,8.390625,0.1182263056,16.0918472652,26.9810414812,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.559,0,0.167247802,40.5,-0.78125,1.0944213867,1.0404219918,4.1428053757,OL - Accel/Decel,0,-2.34375,1.1460150396,3904.6903914591,0,0,0,0,87,62.1932907104,51.7831437853,0,0,0,89.893172909,12.0541844498,0,0,0,0,0,51.1239758719,-66.7895917694,17.4715924105,-30.6803024741,7.2919978802,-27.7863215192,16.0311202229,8.3084731867,8.3540396341,-0.0277996063,16.951496388,26.9048282436,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.608,0,0.1670568887,40.5767263427,-0.78125,1.2226990129,0.9978106955,4.2720208202,OL - Accel/Decel,0,-2.34375,1.2283877688,3872.5,0,0,0,0,87,62.1928367615,51.7709579468,0,0,0,88.3977436658,12.1754190635,0,0,0,0,0,51.1165271507,-68.2167658343,17.6269753184,-30.6591175106,8.0710121887,-27.530700535,17.3190348525,8.275390625,8.296875,-0.0122023821,18.0392156863,26.828615006,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.648,0,0.1658593416,40.8836317136,-0.78125,1.3274154424,0.9630259638,4.3775028158,OL - Accel/Decel,0,-2.34375,1.310760498,3871.4294871795,0,0,0,0,87,62.1930395056,51.7710106932,0,0,0,87.1769850999,12.2743860951,0,0,0,0,0,51.1030091012,-72.22644535,17.7538185085,-30.5995978511,8.7069422364,-27.3220303438,18.3703937339,8.1875,8.2265625,0.0175066165,18.2224736048,26.7664001182,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.688,0,0.1596610975,41.1905370844,-0.78125,1.4321318719,0.9282412322,4.4829848114,OL - Accel/Decel,0,-2.3017902813,1.3109951946,3867.1474358974,0,0,0,0,87,62.1936187744,51.7711715698,0,0,0,85.956226534,12.3733531267,0,0,0,0,0,52.350581907,-60.8398694046,17.8806616986,-28.56131691,9.8039215686,-27.1133601526,20,8.1743652344,8.2391601563,0.047215615,18.4939668175,26.7041852303,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.728,0,0.1202177256,41.4974424552,-0.78125,1.5368483014,0.8934565005,4.6412078047,OL - Accel/Decel,0,-2.2218670077,1.3112980289,3862.8653846154,0,0,0,0,87,62.1933352623,51.3795689106,0,0,0,84.7354679682,12.5490196078,0,0,0,0,0,54.3627961101,-28.8490131771,18.0392156863,-22.8347180753,9.8409492552,-25.4903392772,19.7703202756,7.13671875,9.234375,0.0769246135,18.7654600302,26.6419703425,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Decel Fuel Cut,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.777,0,0.139215897,41.8734015345,-0.78125,1.6651259276,0.8499755859,4.6937839869,OL - Accel/Decel,0,-2.1239609974,1.3116690009,3857.6198717949,0,0,0,0,87,62.1924705505,50.1223182678,0,0,0,83.240038725,12.874811463,0,0,0,0,0,57.3788899433,-26.3064813127,18.5046888321,-21.1485642989,10.0058907683,-23.5021387049,19.1450810259,7.3765060241,9.172251506,0.1385707855,19.0980392157,26.5657571049,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,Anticlunk Tipin TQ Lmt.,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Oscillation / AntiShuffle,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.817,0,0.1992101222,42.1803069054,-0.78125,1.7698423571,0.8499755859,4.7663028588,OL - Accel/Decel,0,-2.0440377238,1.3119718352,3853.3378205128,0,0,0,0,87,60.4396510002,49.6291174277,0,0,0,82.0192801591,13.5987933635,0,0,0,0,0,60.4723195158,-22.1536792674,18.9820971867,-18.3383080049,10.1405369015,-21.8791178296,18.6346816384,9.126953125,8.71875,0.1398284576,19.3695324284,26.5035422171,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Oscillation / AntiShuffle,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.857,0,0.1981899699,42.4872122762,-0.78125,1.9295349121,0.8499755859,4.8388217308,OL - Accel/Decel,0,-1.9641144501,1.3122746694,3849.0557692308,0,0,0,0,87,57.3096160889,48.7484016418,0,0,0,80.7985215932,14.322775264,0,0,0,0,0,60.4273585663,-22.0766814139,19.4595055413,-18.3296730375,10.2751830346,-20.2560969542,18.1242822509,9.1182528409,8.7507102273,0.1482129377,19.641025641,26.4413273292,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Torque Control,Alt Full Load,No Limit Active,Oscillation / AntiShuffle,87.8,192.2,194,30.1960784314,14.3587366458,80.6
3.897,0,0.1951805204,42.7941176471,-0.78125,1.8885986328,0.8499755859,4.9113406027,OL - Accel/Decel,0,-1.8841911765,1.3125775037,3844.7737179487,0,0,0,0,87,57.3082370758,48.7462558746,0,0,0,79.5777630274,15.0467571644,0,0,0,0,0,60.3823976168,-21.9450399226,19.936913896,-18.3144179284,10.4098291677,-18.3490474256,17.6138828633,9.03125,9.0703125,0.1565974179,19.9125188537,26.3791124414,9,In Gear Limit Overspeed,87.8,No Limit Active,100.4,14.628,No Limit Active,Sport,Torque Control,Base / MBT,Alt Full Load,No Limit Active,Oscillation / AntiShuffle,87.8,192.2,194,30.1960784314,14.3587366458,80.6
